lastUpdated,title,url
" This page was last edited on 17 July 2022, at 10:41",Kevin Bacon,https://en.wikipedia.org/wiki/Kevin_Bacon
" This page was last edited on 8 July 2022, at 06:39",Blockbuster (entertainment),https://en.wikipedia.org/wiki/Blockbuster_(entertainment)
" This page was last edited on 19 August 2022, at 04:12",[<Selector xpath='//h1/i/text()' data='Digging to China'>],https://en.wikipedia.org/wiki/Digging_to_China
" This page was last edited on 28 July 2022, at 18:08", (film),https://en.wikipedia.org/wiki/Murder_in_the_First_(film)
" This page was last edited on 21 August 2022, at 04:02",David Koepp,https://en.wikipedia.org/wiki/David_Koepp
" This page was last edited on 16 August 2022, at 11:40",[<Selector xpath='//h1/i/text()' data='A Few Good Men'>],https://en.wikipedia.org/wiki/A_Few_Good_Men_(film)
" This page was last edited on 16 April 2022, at 05:52",Michael Greif,https://en.wikipedia.org/wiki/Michael_Greif
" This page was last edited on 12 August 2022, at 17:54", (1997 film),https://en.wikipedia.org/wiki/Picture_Perfect_(1997_film)
" This page was last edited on 3 August 2022, at 09:25",[<Selector xpath='//h1/i/text()' data='Telling Lies in America'>],https://en.wikipedia.org/wiki/Telling_Lies_in_America_(film)
" This page was last edited on 23 August 2022, at 03:55",[<Selector xpath='//h1/i/text()' data='Sleepers'>],https://en.wikipedia.org/wiki/Sleepers_(film)
" This page was last edited on 2 August 2022, at 09:43",[<Selector xpath='//h1/i/text()' data='Losing Chase'>],https://en.wikipedia.org/wiki/Losing_Chase
" This page was last edited on 21 August 2022, at 02:10",Payola,https://en.wikipedia.org/wiki/Payola
" This page was last edited on 13 July 2022, at 04:51", (film),"https://en.wikipedia.org/wiki/He_Said,_She_Said_(film)"
" This page was last edited on 14 August 2022, at 21:37",Meryl Streep,https://en.wikipedia.org/wiki/Meryl_Streep
" This page was last edited on 17 June 2022, at 15:25",Main Page,https://en.wikipedia.org/wiki/Main_Page
" This page was last edited on 27 June 2022, at 04:28",Trove,https://en.wikipedia.org/wiki/Trove_(identifier)
" This page was last edited on 25 June 2021, at 19:17",Système universitaire de documentation,https://en.wikipedia.org/wiki/SUDOC_(identifier)
" This page was last edited on 27 January 2022, at 02:50",Library Network of Western Switzerland,https://en.wikipedia.org/wiki/RERO_(identifier)
" This page was last edited on 22 August 2022, at 00:18",[<Selector xpath='//h1/i/text()' data='The New York Times'>],https://en.wikipedia.org/wiki/The_New_York_Times
