author,date,description,source,text,title,url
Marquise Francis,2022-08-25T15:57:58.000Z,Oklahoma is set to execute its first of more than two dozen death row inmates over the next 29 months. But given the state’s complicated history with...,Yahoo News,"Beginning Thursday, Oklahoma is set to execute its first of more than two dozen death row inmates over the next 29 months — an average of one execution per month over the next two years. If carried out in full, the unprecedented number of 25 executions would put to death ,, who include a flurry of incarcerated individuals with mental health disorders and others who have maintained their innocence.,Given the state’s , with executions, which includes , and a , of death row inmates, legal experts and critics alike are perplexed by its fervor to kill so many people in such a short amount of time.,“Why the rush to execute 25 people?” Tracy Hresko Pearl, a professor at the University of Oklahoma College of Law, queried in an interview with Yahoo News, calling 25 executions in two years “horrifying.”,James Coddington was the first inmate to be executed and died on Thursday morning. Coddington, who had been in jail since 1997 for killing a friend who refused to loan him $50 to buy cocaine, was , by Republican Gov. Kevin Stitt on Wednesday, despite the Oklahoma Pardon and Parole Board recommending him for clemency earlier this month. Coddington repeatedly expressed remorse for the murder, and his lawyers said he had worked to turn his life around for the better behind bars — all to no avail.,“Oklahoma views its criminal justice system as, No. 1, infallible and, No. 2, punitive, above all else,” Pearl said. “I think that the advent of DNA evidence has really shown us how often we get cases, and even very serious capital cases, wrong.”,In fact, according to the , by the National Registry of Exonerations, somewhere between 2% and 10% of all convicted individuals in U.S. prisons are innocent — a stat that many legal experts argue is far too high to legitimize capital punishment for anyone. , by the registry in 2020 found that more than half of the wrongful criminal convictions are caused by government misconduct, which rarely faces consequences.,“Misconduct by police, prosecutors and other law enforcement officials is a regular problem and it produces a steady stream of ,, an emeritus professor at the University of Michigan Law School and a co-founder of the registry, told the Washington Post.,It’s an ugly truth that many have paid for with their life, while others have paid financially.,State capital cases, or death penalty proceedings, cost state taxpayers 3.2 times more than non-capital cases on average, according to a ,. More revealing, an analysis of 15 death penalty cases nationwide, from that same study, determined that seeking the death penalty results in an average of approximately $700,000 more in costs than not seeking death.,Complicating the death penalty’s implementation, certified physicians are barred from participating in the practice. The , in 2006 announced that any physician who participates in an execution violates their Hippocratic oath to protect lives. As a result, the state goes to extreme lengths to administer executions. Earlier this year it was revealed that Oklahoma paid a doctor , (to check consciousness, verify the drugs being used and ultimately confirm death), plus another $1,000 a day for training. The high financial burden, coupled with various moral and efficacy dilemmas associated with state-sanctioned executions, presents a serious cause for concern for many critics.,“My hope is always that the state views the goal of its criminal justice system to be truth above all else,” Pearl said. “And I think that when a state rushes to execute a large number of people, what it’s doing is something very different than pursuing truth. It’s pursuing punishment above all else. And I think that should be incredibly disturbing for all Americans.”,Another concern for legal experts is transparency around where the ingredients that make up lethal injections for Oklahoma executions come from, something they say has always been shrouded in secrecy. Readily available information online details a three-drug method, which is the ,: a barbiturate that acts as a sedative and painkiller, a drug that causes paralysis such as vecuronium bromide and a dose of potassium chloride to stop the heart.,No information about where the drugs are obtained or their efficacy is publicly available. The Oklahoma Department of Corrections, which is in charge of carrying out the executions, did not respond to multiple requests for comment from Yahoo News.,Andrea Digilio Miller, legal director of the Oklahoma Innocence Project, an organization dedicated to finding and resolving wrongful conviction cases in the state based at the Oklahoma City University School of Law, believes more transparency in the entire execution process would allow Americans to have more informed views on the death penalty. In its absence, she says, many are left to think the worst.,“Who are we getting our [lethal injection] drugs from?” Miller probed in an interview with Yahoo News. “If these aren’t drugs that are really available on the open market, where are they coming from? And are they expired? I think those are the sorts of things that people should know so that it can inform their individual beliefs about the death penalty.”,Having spent more than two decades as a public defender in Oklahoma, Miller has at least six former clients who are on the list of 25 death row inmates slated to be executed in the next two years. Among those names was Coddington.,For Miller, given Oklahoma’s deeply conservative values, which are anti-abortion and include having the , in the country, the championing of the death penalty seems to go directly against the basic idea of preservation of life.,“We in this country talk so much about trying to protect children while they’re children, but then for the children who slipped in the cracks and the system doesn’t help, we’re more than willing to throw them away on the back end when they make a mistake,” she said. “And that’s very much what the James Coddington story is.”,“He came from abject poverty. He came from a very abusive background and a background where everybody in his life had substance abuse problems,” she added. “And every death row inmate I have ever represented suffered from the consequences of that type of trauma.”,In spite of advocates’ best efforts to delegitimize the death penalty in Oklahoma, the reality is that executions have been the law of the land in the state for more than two centuries. Capital punishment was , there in 1804 when Congress made criminal laws in the U.S. applicable to lands acquired in the Louisiana Purchase, which include present-day Oklahoma. At the time, only “willful murder” was punishable by the death penalty. Since then, Congress has expanded the scope to include several other offenses, including treason, espionage and rape.,The original death penalty law called for executions to be carried out by electric chair, but the Supreme Court deemed that ,. The current ,, enacted in 1977, calls for executions to be carried out by lethal injection. From 1915 to 2022, Oklahoma has executed a total of 196 men and three women, according to the ,.,But they haven’t all gone as planned.,In 2014, Oklahoma death row inmate Clayton Lockett , for more than 40 minutes during his execution before suffering a heart attack. Just months later, another inmate, Charles Warner, complained, “,,” according to witnesses, as he was killed. Then just last year, inmate John Grant, , as he lay on the gurney before he died, drawing sharp criticism for the practice.,Richard Glossip, one of the 25 death row inmates scheduled to be executed, will likely eat his , on death row. In 2015, just as he was set to be injected with the lethal cocktail, officials realized they had the wrong drug, sparing his life. Having always , for a killing he was accused of, Glossip is hoping a last-minute appeal works in his favor.,Instead of Oklahoma leadership slowing down executions as numerous issues arise, the process and quantity are just picking up.,“Oklahoma did not execute anyone for over 6 years and 9 months, from mid-January of 2015 until late October of 2021,” Maria T. Kolar, an assistant professor of law at Oklahoma City University School of Law who teaches courses about criminal law and capital punishment, told Yahoo News in an email. “In an era when executions are at a new low nationwide for the modern era — for so many reasons — it seems reasonable to ask whether Oklahoma really wants to ‘lead the nation’ when it comes to executions.”","Oklahoma readies for 25 executions in 2 years. But critics ask, 'Why the rush?'",https://news.yahoo.com/oklahoma-executions-james-coddington-death-row-inmates-155758358.html
Beatrice Nolan,2022-08-25T11:07:07.000Z,"Data shows that Marjorie Taylor Greene's company, Taylor Commercial, Inc., had $183,504 in Paycheck Protection Program loans forgiven.",Yahoo News,"Rep. Marjorie Taylor Greene criticized Biden's student-loan-forgiveness plans as ""completely unfair,"" despite records showing that her own company had $183,504 worth of Paycheck Protection Program loans forgiven in 2020.,On Wednesday, the Biden administration announced plans to , for most borrowers, fulfilling a campaign promise and extending relief to millions of borrowers. US residents earning , are eligible for loan forgiveness.,In her interview on ,, Taylor Greene said the plan was unfair to taxpayers who had never taken out a student loan.,The Georgia Republican added that she opposed the student-loan program in the first place, saying: ""There should not be a system in place that allows them and encourages them to pile up massive debt in these big colleges and universities."",Data from ,, a tracking site that uses data from the Small Business Association, shows that Taylor Green was one of several Republican members of Congress who had private loans forgiven.,The data shows that the total amount forgiven was $183,504, which represented full forgiveness of the original $182,300 loan, plus the accrued interest. The majority of the relief issued in April 2020 was used for payroll, according to the data.,The Small Business Association did not immediately respond to Insider's request for comment, which was made outside normal working hours., says that she and her husband, Perry Greene, bought her family's construction business, Taylor Commercial, Inc., prior to her election.,Representatives for Taylor Commercial and Taylor Greene did not immediately respond to Insider's request for comment.,Taylor Greene also criticized the Biden administration as having a purely political agenda for the student-loan plan, telling Newsmax TV that he was looking ""to bring in blue votes in November."",Read the original article on ","Marjorie Taylor Greene says student-loan forgiveness is 'completely unfair' despite the fact her company had loans worth $183,504 forgiven",https://news.yahoo.com/marjorie-taylor-greene-says-student-110707728.html
Tyler Greenawalt,2022-08-24T14:39:07.000Z,Leonsis would own four of the five major DC sports teams if he bought the Nationals.,Yahoo News,"Ted Leonsis, the owner of the Washington Wizards, Washington Mystics and Washington Capitals is looking to add a fourth major professional sports team to his company's portfolio: The Washington Nationals.,Leonsis' company, Monumental Sports & Entertainment, was reportedly granted access to the Nationals' financial data, according to the ,.,That's a big step in a potential bid for the MLB franchise. The Lerner family , in April, which could include an outright sale.,Zach Leonsis, the son of Ted Leonsis and Monumental’s president of media and new enterprises, said Tuesday that it was “not appropriate to comment"" when asked about the family's interest in the Nationals.,There are at least five suitors for the Nationals, per the ,, which include billionaire Michael B. Kim, the co-founder and partner of MBK Partners, a private equity firm headquartered in Seoul, South Korea, and Stanley Middleman, the CEO of Freedom Mortgage in New Jersey.,Leonsis, 65, bought his first major professional sports team in 1999 when he paid $85 million for the Capitals. He became the majority owner of the Wizards and Mystics in 2010 and combined all three teams under one ownership group at Monumental. Leonsis' company also owns the Verizon Center where the Capitals, Wizards and Mystics play, NBA G League’s Go-Go and the NBA 2K League’s Wizards District Gaming.,Monumental also announced it is buying NBC Sports Washington, the network that owns the broadcast rights for the Wizards and Capitals.,The Nationals are valued at $2 billion, per ,. It's unclear if Leonis and Monumental would buy the team outright, bring in other investors or work with the Lerners on a new ownership structure. Coincidentally, Mark Lerner, who is the Nationals’ managing principal owner, is also a minority partner in Monumental. The Post and the , that David Rubenstein, co-founder of the private equity firm, the Carlyle Group, will be joining Leonis and Monumental in a bid for the Nationals.,The Los Angeles Angels are also reportedly up for sale, owner Arte Moreno , Tuesday. That franchise is valued at $2.2 billion.,Washington is reaching a bit of an inflection point in its franchise after the organization won the World Series in 2019. The Nationals traded superstar , Juan Soto to the San Diego Padres earlier this month and look directionless as Washington flops to perhaps another last-place finish in the NL East for the third time in three years.,Whoever buys the Nationals will have their work cut out for them.","Ted Leonsis, owner of the Wizards, Capitals and Mystics, is reportedly interested in buying the Nationals",https://news.yahoo.com/ted-leonsis-owner-of-the-wizards-capitals-and-mystics-is-looking-at-buying-the-nationals-143907643.html
Ronda Lee,2022-08-24T15:43:06.000Z,"President Biden on Wednesday announced $10,000 in student loan debt forgiveness for individuals who make $125,000 or less and for households that earn...",Yahoo News,"President Joe Biden delivered a win-win for student loan borrowers.,The president on Wednesday announced the federal government will forgive $10,000 in student loan debt for individuals who make $125,000 or less and for households that earn $250,000 or less, according to a ,. An additional $10,000 in forgiveness goes to those who received need-based Pell Grants.,Biden also extended the pandemic forbearance on federal student loans to December 31, helping those who didn't make the forgiveness cut or who would still have an outstanding balance after forgiveness. The administration also laid out other steps to reduce the education cost burden for existing and future borrowers.,The latest move delivers on Biden’s campaign promise for student debt relief and could help up to 43 million borrowers, according to the administration.,An erasure of $10,000 for all borrowers with federally-backed loans would cost roughly $371 billion and eliminate loans for about a third of borrowers. While the $125,000 income cap reduces the cost and scope, 90% of the relief goes to households with $75,000 in yearly income or less, according to figures from the Department of Education.,""No individual making more than $125,000 or household making more than $250,000 – the top , of incomes in the United States – will receive relief,"" the fact sheet provided by the administration stated.,With $10,000 in forgiveness, “you're going to reach a lot more borrowers that are at significant risk of default,” Antoinette Flores, director of postsecondary education at the Center for American Progress (CAP), t,. “We know that the majority of borrowers who ended up defaulting have debt below $10,000.”,The additional $10,000 for Pell Grant recipients also further helps the more finanially vulnerable. According to the administration fact sheet, Pell Grant recipients account for more than 60% of the borrower population and nearly all come from a family that earns less than $60,000 a year.,""The potential of an extra $10,000 worth of forgiveness for some Pell Grant Recipients was unexpected, but it makes sense given that it directly targets lower income borrowers and runs contrary to the narrative that student loan forgiveness is a 'handout to the rich,' as some have argued,"" Jacob Channel, senior economist at Student Loan Hero, said in a statement.,Additionally, Biden is extending the payment pause to the end of the year. The relief originally was set to ,. The extension will provide temporary relief for the remaining borrowers who are ineligible for forgiveness or who will receive limited relief from the elimination of $10,000 in debt.,The pause is the final extension after originally enacted,at the beginning of the pandemic in March 2020 to help borrowers who were facing financial troubles such as job loss or furloughs.,It has been extended seven times collectively by both administrations, and some experts said it was necessary to extend forbearance again this time around as borrowers and servicers were not ,.,""In keeping with my campaign promise, my Administration is announcing a plan to give working and middle class families breathing room as they prepare to resume federal student loan payments in January 2023,"" the president tweeted.,The Education Department is also proposing a rule to cap monthly payments for undergraduate loans at 5% of a borrower’s discretionary income, which is half the rate borrowers pay now under most plans. That will reduce the average annual student loan payment by more than $1,000 for both existing and future borrowers, according to the administration.,The department will also propose forgiving loan balances after 10 years of payments — instead of 20 years — for borrowers who had original loan balances of $12,000 or less, which would especially help borrowers who attended community college.,Another move will be to fix the ,that provides student debt forgiveness for borrowers after working at least 10 years in public service jobs with federal, state, local, or certain non-profit organizations.,A big concern is how loan forgiveness will be processed and administered considering the $125,000 individual income cap and $250,000 household income cap on their 2020 or 2021 tax return.,The Education Department is in charge of administering the program and will have an application available to borrowers before the federal forbearance expires on December 31. Borrowers can sign up for notifications on the dedicated ,.,For the 8 million borrowers whose income data is already in the Education Department database, they may see automatic relief. For borrowers whose data isn't readily available, there may be delays to verify income.,“People who need the relief will end up not getting benefits because of paperwork delays, similar to public service loan forgiveness (,) applicants experiencing problems with denials,"" Katherine Lucas McKay, associate director of research at Aspen Institute’s Financial Security Program, told Yahoo Money. ""PSLF borrowers have to certify their income with the IRS, who then sends an automated notification to the Education Department of income based on current year tax return based on individual income."",Currently, the IRS has a, backlog of unprocessed paper returns, an eight-month backlog in processing taxpayer correspondence, and a hiring shortage., ","Student loan forgiveness: Biden cancels $10K in student loans, extends forbearance",https://news.yahoo.com/student-loan-forgiveness-biden-154306915.html
Costas Pitas,2022-08-26T02:58:06.000Z,"A U.S. plan announced this week to forgive $10,000 in student loans for millions of debt-saddled former college students will cost roughly $24 billion a year...",Yahoo News,"By Costas Pitas,(Reuters) - A U.S. plan announced this week to forgive $10,000 in student loans for millions of debt-saddled former college students will cost roughly $24 billion a year assuming that three quarters of those eligible take up the offer, the White House said.,The move, announced by President Joe Biden on Wednesday, kept a pledge he made in the 2020 campaign for the White House and could boost support for his fellow Democrats in the November congressional elections.,Some economists said it may fuel inflation and Republicans mostly oppose student loan forgiveness, calling it unfair because it will disproportionately help people earning higher incomes.,On Wednesday, the White House said it had yet to determine the price tag for the package but on Thursday, White House spokesperson Karine Jean-Pierre told CNN:,""Assuming that 75% of folks take us on on the President's student loan cancellation plan, and you look at the average cash flow on that, it's going to be about $24 billion per year."",American university tuition fees are substantially higher than in most other rich countries, and U.S. consumers carry $1.75 trillion in student loan debt, most of it held by the federal government.,(Reporting by Costas Pitas in Los Angeles; Editing by Christian Schmollinger and Jacqueline Wong)",White House says student loan forgiveness plan will cost $24 billion a year,https://news.yahoo.com/white-house-says-student-loan-025806565.html
Mike Bebernes,2022-08-03T14:27:45.000Z,Polls suggest a large share of the voting public is eager for a viable alternative to the two major parties. So why isn't there one?,Yahoo News,"Dozens of former Republicans and Democrats announced last week that they had , aimed at attracting the support of voters who have become dissatisfied with America’s two major political parties.,The party, called Forward, is led by former Democratic presidential candidate Andrew Yang alongside former Republican New Jersey Gov. Christine Todd Whitman and ex-GOP lawmaker David Jolly. In an op-ed for , describing their vision, the trio described Forward as a “unifying political party for the majority of Americans who want to move past divisiveness and reject extremism.”,Attempts to establish a viable third party that can meaningfully compete with Democrats and Republicans are not new, but none of those efforts have been able to break the dominance of the two parties. It’s been , since a third-party presidential candidate has won any electoral votes. The most successful modern candidate from outside the two major parties was Ross Perot, who received nearly 19% of votes while running as an independent in 1992.,The two major parties also hold near-unanimous command over Congress. Each of the 431 current members of the House of Representatives is from one of the two parties. There are two independents in the Senate, though both consistently vote with the Democrats, and one, Bernie Sanders of Vermont, has run for the Democratic presidential nomination.,Forward’s leaders are aware of this history but argue that a huge share of Americans “feel they aren’t represented” by the two major parties — which they say creates room for a moderate third party to step in and make a difference.,Though they acknowledge that it’s a very steep climb, some experts believe the current environment may be ripe for a third party — even if it’s not Forward — to have a substantive impact on American politics. A Gallup poll early last year found a record 62% of voters believe the two major parties are doing such a poor job that an ,. While they concede it may be far-fetched to imagine a third-party candidate making a legitimate challenge for the presidency in 2024, optimists argue there is opportunity for outside groups to be competitive in local races and build a solid foundation that allows them to gradually increase their influence over time.,But skeptics say the challenges are simply too steep for any third party to break through. Beyond the enormous financial and infrastructure advantages the major parties enjoy, America’s “winner-take-all” system of government can make it impossible for third parties to hold any real governing power. Critics also say polling on suggesting a widespread desire for a third party can be misleading. They say that while there are plenty of discontented voters, they are spread so disparately across the ideological spectrum that no one party could possibly represent all of their varying views. There’s also the “spoiler” problem, in which third parties tend to siphon off votes from the major party they’re most closely aligned with, which can ultimately help the party they most oppose win close races. For example, voters who supported Green Party candidates Ralph Nader in 2000 and Jill Stein in 2016 have been blamed — fairly or not — by some Democrats for helping the GOP win the presidency in both those elections.,Some political analysts, though, say the impact of third parties shouldn’t be judged solely by whether they win elections. They argue that there are plenty of examples in history when a third party gained enough support that one of the major parties was compelled to make a substantial policy shift in response. A centrist third party could have a similar effect today, some argue, by forcing either Democrats or Republicans to moderate their approach if they fear too many voters will abandon them.,Forward is planning to hold its first party convention next summer and aims to have candidates on the ballot in local and state-level races across the country in 2024. Party leaders say there are currently no plans to run a presidential candidate during that election cycle.,“No matter the exact percentage of disaffected moderates, it seems certain that were a centrist coalition or political vehicle to arise in service of ‘bipartisan’ policy objectives, it would shift the political center of gravity and find itself constituting a majority, or at least be sufficiently substantial to deny one to the political extremes (or the legacy political parties animated by them).” — Richard J. Shinder, ,“Our two-party system exists not because Americans want just two parties. They definitively want more. But our antiquated ‘first-past-the-post’ system of voting, where the candidate with the most vote wins, renders third parties as spoilers and thus directs all political ambition to the two major parties, entrenching the two-party system.” — Lee Drutman, ,“In the United States, a successful third party isn’t necessarily one that wins national office. Instead, a successful third party is one that integrates itself or its program into one of the two major parties, either by forcing key issues onto the agenda or revealing the existence of a potent new electorate.” — Jamelle Bouie, ,“Ultimately, the purported constituents for a centrist third party aren’t as large a group as is often imagined and aren’t really centrists, either. And their alienation from both parties may be more about alienation from politics or, to put it another way, from the prospect of doing anything about their grievances. This fantasy will never die, but it’s not springing into real life in the foreseeable future.” — Ed Kilgore, ,“Americans consistently voice growing distrust in the federal government, greater faith in local government, and an increasing preference that states take the lead over D.C. in setting policy. … Reviving federalism and localism could be more appealing to voters than yet another empty assertion that, deep down, we all favor 'commonsense solutions' that strike many people as nothing of the sort.” — J.D. Tuccille, ,“Any single new party tends to divide the ranks of one of the existing parties — whichever is closer to its political philosophy. … On the other hand, if two or even three new parties tried to form at once, the result could be unpredictable and fluid.” — Quin Hillyer, ,“Favoritism for party candidates is a tough mountain to climb. Even voters who might consider independent or third-party candidates often decide that they do not want to waste their vote, and they will choose a candidate from one of the two major parties as the lesser of two evils. Americans prefer to vote for a candidate they believe can win.” — Kevin Wagner, ,“The 2024 presidential election may be a good opportunity for an independent campaign. It’s implausible that such a candidate would win the presidency, but making enough noise to be noticed isn’t rare. … If President Joe Biden remains unpopular and continues running for another term well into 2023, that would set up the same circumstance.” — Jonathan Bernstein, ,“In this climate — where large factions of party members regard the other party as not just wrong, but evil — the idea of a new entity drawing discontented voters from the center of both parties seems a heavy reach.” — Jeff Greenfield, ,“A non-Trumpy candidate could play the role of spoiler by garnering enough conservative votes in the general election to throw the election to the Democrat. … The point is to cause the GOP some pain for its descent into asininity. … It would also serve to remind the GOP that if you abandon conservative principles, conservatives might abandon you.” — Jonah Goldberg, ,“It would take tens if not hundreds of millions of dollars to establish an organization capable of challenging the Big Two, they’ve learned — think mom-and-pop startup challenging Coke and Pepsi — and existing political donors are generally locked into one side of the aisle or the other. So are the vast majority of political professionals who would risk their careers to aid in the creation of a major new national party. Like it or not, inside American politics, you’re on one side or the other. There is no in between.” — William F. B. O'Reilly, ,“Real politics requires you to not just say ‘Gee, wouldn’t it be great if everything was better?’ but to make hard choices, choices that will make some people mad. It means risky stands on principle and tradeoffs and imperfect solutions and fights. If you aren’t willing to take all that on, you aren’t serious about politics.” — Paul Waldman, ,Photo illustration: Yahoo News; photos: Angela Weiss/AFP via Getty Images",Is there any room for a 3rd party in American politics?,https://news.yahoo.com/is-there-any-room-for-a-third-party-in-american-politics-142745823.html
Ukrainska Pravda,2022-08-25T08:25:00.000Z,"ALONA MAZURENKO - THURSDAY, 25 AUGUST 2022, 11:25 Major General Kyrylo Budanov, the head of the Chief Intelligence Directorate of the Ministry of Defence of ...",Yahoo News,"THURSDAY, 25 AUGUST 2022, 11:25,Major General Kyrylo Budanov, the head of the Chief Intelligence Directorate of the Ministry of Defence of Ukraine said that the turning point in the war with Russians has already come., ""This is not the second army in the world, not even the fourth. And the reckoning will come. The understanding that there will be retribution comes to people when they begin to see and feel that war is not somewhere out there, in some [distant] part of the world, but on their own territory. Therefore, the turning point has already come."",According to the head of the Chief Intelligence Directorate, the Russians began to understand that their army is not so strong, and the air defence systems are not so good, and the Russian army is not really able to protect the temporarily occupied Ukrainian territory.",Turning point in war is already here Head of Ukraines military intelligence,https://news.yahoo.com/turning-point-war-already-head-082500719.html
The New Voice of Ukraine,2022-08-25T11:04:00.000Z,"The tide of the full-scale Russian war against Ukraine is already turning, the head of Ukraine’s Military Intelligence Directorate (HUR), Kyrylo Budanov...",Yahoo News,"According to Budanov, the Russians are starting to realize their army isn’t as mighty as they thought – and the same goes for their air defenses. They are beginning to accept that they won’t be able to hold on to occupied Ukrainian lands, he believes.,“Payback’s due,” the spy chief said, adding that the Russian army “isn’t the second best in the world, not even the fourth one.”,“The tide is turning against them,” he added., ,Budanov said as early as June that August will be the pivotal month of the war, and suggested that fighting would virtually cease by the end of the year.,Read the original article on ","War at a turning point, Ukrainian military intelligence chief says",https://news.yahoo.com/war-turning-point-ukrainian-military-110400890.html
Reuters,2022-08-24T15:43:13.000Z,Ukraine's top military intelligence official said on Wednesday that Russia's military offensive was slowing because of moral and physical fatigue in their...,Yahoo News,"KYIV (Reuters) - Ukraine's top military intelligence official said on Wednesday that Russia's military offensive was slowing because of moral and physical fatigue in their ranks and Moscow's ""exhausted"" resource base.,The remark on television by Defence Intelligence agency chief Kyrylo Budanov was one of the strongest signals by Kyiv that it believes Russia's offensive power may be waning.,""Russia has rather seriously slowed down the tempo of its assault. The reason for this is the exhaustion of their resource base, as well as a moral and physical fatigue from the fighting,"" he said.,Russian Defence Minister Sergei Shoigu said earlier that Moscow had deliberately slowed down its campaign in Ukraine, something he said had been driven by the need to reduce civilian casualties.,Russia rapidly captured swathes of southern Ukraine in the beginning of the invasion launched by Moscow exactly six months ago, but was repelled from around Kyiv and withdrew to focus on the east.,Moscow claimed the capture of the eastern region of Luhansk in early July after a series of long, bloody battles, but it has not claimed any major territorial gains since.,Separately, Budanov said that the Russian air defence systems in the annexed peninsula of Crimea ""don't really work"".,The comment, when asked about a spate of explosions on the peninsula for which Ukraine has not claimed responsibility, was one of the clearest hints yet that Ukraine may be conducting strikes there.,""Crimea ... is defended by Russia's best air defence systems,"" he said. ""They don't really work, and they are not able to defend territory captured from Ukraine."",(Reporting by Max Hunder; editing by Tom Balmforth and Bill Berkrot)",Ukraine spy chief says Russian offensive slowing due to fatigue,https://news.yahoo.com/ukraine-spy-chief-says-russian-154313170.html
Aaron Parsley,2022-08-25T17:30:02.000Z,"In his latest attack, Trump again brought up McConnell’s wife, Elaine Chao, who served in the former president’s cabinet as secretary of transportation",Yahoo News," Mitch McConnell (left), Donald Trump, is turning up the heat in his latest feud with the top Republican in the U.S. Senate — and his wife.,""Mitch McConnell is not an Opposition Leader, he is a pawn for the Democrats to get whatever they want,"" Trump ,. ""He is afraid of them, and will not do what has to be done. A new Republican Leader in the Senate should be picked immediately!"",The call to replace the , comes not long after the former president , for what he believes is his lack of support for the GOP's 2022 midterm candidates.,""Why do Republican Senators allow a broken down hack politician, Mitch McConnell, to openly disparage hard-working Republican candidates for the United States Senate?"" Trump wrote Saturday on Truth Social. He also called McConnell's wife, Elaine Chao, who served in the Trump administration as secretary of transportation, ""crazy"" in the post.,In his latest attack, Trump referred to a , about Chao's alleged ties to China. The article cites a report from the Department of Transportation Office of Inspector General on an ethics investigation into the former Trump administration official.,""The Democrats have Mitch McConnell and his lovely wife, Elaine 'Coco' Chao, over a barrel,"" the former president wrote. ""He and she will never be prosecuted, as per the last paragraphs of this story, as long as he continues to give the Radical Left the Trillions and Trillions of Dollars that they constantly DEMAND."", Senate Majority Leader Mitch McConnell and President Donald Trump together in 2017,Trump is blaming McConnell for failing to prevent passage of the , — Democrats' wide-ranging economic package that includes climate, health care and tax legislation — as well as President ,'s , which provides up to either , for people making less than $125,000 per year.,""He was afraid to use the 'Debt Ceiling Card' in order to stop the most expensive waste of money in our Country's history, to be spent on the Green New Deal, which will only cause one thing, a Depression,"" Trump wrote. ""These expenditures are something our Country can never recover from."",Trump's issues with McConnell are not new. The former president previously called for a new Republican to lead in the Senate ,, predicting Republicans could lose in the 2022 midterms if they stick with McConnell, whom Trump has , an ""Old Crow."",Last week, McConnell cited ""candidate quality"" in suggesting Republicans' chances of taking control of the Senate in the November midterms have diminished. Though he didn't mention any Senate hopefuls by name, , , , pointed to , like , in Pennsylvania, , in Georgia and others as those McConnell was likely referencing in his comments.",Trump-McConnell Feud Escalates as Former President Calls for Minority Leader to Be Replaced 'Immediately',https://news.yahoo.com/trump-mcconnell-feud-escalates-former-173002735.html
